model,map_model_name
DAA-RU VEZEL,VEZEL
DAA-GP4 FIT,FIT
DAA-GP3 HYBRID FREED,FREED
CITY 1.5L CVT,CITY
DBA-RW2 CRV,CRV
CR-V RVS1-2,CRV
GBD- HA6,ACTY
DAA-FD3 CIVIC,CIVIC
CR-V(DBA-RW2),CRV
CIVIC SR VTEC,CIVIC
DAA-GP1 FIT HYBRID,FIT
FIT DAA-GP4,FIT
CR-V VTE,CRV
DBA-RW2 CRV EX-MASTERPIECE,CRV
EBD-HH5,ACTY
CIVIC ES,CIVIC
DBA-GJ1 AIRWAVE,AIRWAVE
DBA-JH1 N WGN CUSTOM,N WGN
GP-RD1,FIT
DX,CIVIC
FIT-LAGD1,FIT
DBA-FK7 CIVIC,CIVIC
DBA-RW1,CRV
CIVIC AUTO,CIVIC
DBA-RW1 CR-V,CRV
INSIGHT ES CVT,INSIGHT
DBA-RM1,CRV
HC CITY,CITY
CITY 4A,CITY
CRV-VTL3,CRV
CIVIC LA-ES1,CIVIC
DBA-JH2 N WGN,N WGN
N WGN,N WGN
DBA-JH1 N WAGON,N WGN
CIVIC EX CUT,CIVIC
DAA-GP5 FIT,FIT
LA-ES1,CIVIC
EBD-HA8,ACTY
DBA-GD6 FIT,FIT
DBA-JW5 S660,S660
CIVIC EX 1.0 VTEC,CIVIC
VEZEL (DAA-RU3)-HYBRID,VEZEL
CR-V VTI-LX,CRV
DAA-RUS,VEZEL
CR V VTEC,CRV
CIVIC EH 957-KQ,CIVIC
DBA-RE4,CRV
CITY 1.5L A,CITY
CRV A SPORTS,CRV
CRV 2.0A,CRV
CTV-VTI-L,CRV
DAA -GP5 -FIT HYBRID,FIT
HRV WAGON,HRV
DBA-FD1,CIVIC
GF-GH3 JEEP,HRV
CRV2.0A,CRV
6AA-ZE4 EX INSIGHT,INSIGHT
CIVIC VTEC CVT,CIVIC
CIVIC-SEDAN,CIVIC
CIVIC EK3-AUTO,CIVIC
CIVIC EK3-MANNUAL,CIVIC
CIVIC EX VTEC,CIVIC
CIVIC ES1-AUTO,CIVIC
CIVIC ES8-AUTO,CIVIC
GRACE-DAA-GM4,GRACE
CITY VTEC,CITY
CITY VTEC M,CITY
DA-RU3-VEZEL,VEZEL
CIVIC ES8-MANNUAL,CIVIC
CITY G41,CITY
CIVIC FB1,CIVIC
CIVIC V11 4A,CIVIC
CITYVTEC A,CITY
GAA-GP7-SHUTTLE,SHUTTLE
CR.V RVSI-2,CRV
CRV-VTI-S,CRV
DAA-RU3 VEZEL HYBRID,VEZEL
CIVIC FD1-AUTO,CIVIC
CIVIC FD1-MANNUAL,CIVIC
CIVIC FD3-JAPAN,CIVIC
CIVIC FD4-AUTO,CIVIC
CIVIC FD4-MANNUAL,CIVIC
CIVIC SE-HATCHBACK,CIVIC
CIVIC EG8,CIVIC
CIVIC ES1-MANNUAL,CIVIC
CIVIC FD3-UK,CIVIC
CIVIC SR-HATCHBACK,CIVIC
CIVIC EG8,CIVIC
CIVIC EX-HATCHBACK,CIVIC
CRV-WAGON,CRV
DAA-RU4 VEZEL,VEZEL
CIVIC RS,CIVIC
ACCORD CL7,ACCORD
CIVIC  EX,CIVIC
VEZEL RU3 ORANGE PACKAGE,VEZEL
DBA-JH1 N WGN CUSTON,N WGN
DAA-GP7 FIT SHUTTLE,SHUTTLE
DBA-RW1 CR-V EX,CRV
DBA-JW5 S660 SPORT,S660
6AA-ZE4,INSIGHT
HONDA,CRV
ORAND CIVIC,CIVIC
CIVIC-EG8,CIVIC
Spike,FREED
DAA-ZE2 HYBRID INSIGHT,INSIGHT
DAA-ZE2 HYBRID,INSIGHT
DBA-GD6,FIT ARIA
UA-GD1,FIT
DAA-DM4-GRACE,GRACE
VEZEL RU3,VEZEL
CITY-V,CITY
DA-GP5 FIT,FIT
DBA-RW1 CRV,CRV
DBA-GE6 FIT,FIT
INSIGHT DAA-ZE2,INSIGHT
DAA-ZF2 CR-Z,CRZ
CIVIC BRAND NEW,CIVIC
DAA-GPI FIT HYBRID,FIT
CRV,CRV
DBA-JF3 N-BOX CUSTOM,N BOX
E-EF2-CIVIC,CIVIC
CBA-RD7 CR-V,CRV
CIVIC 1.0 CVT,CIVIC
DAA-GPI FIT,FIT
CR-V 2.0L,CRV
LEB-H1 3056183 FIT,FIT
DAA-RU2 VEZEL,VEZEL
CIVIC-99,CIVIC
DBA-GD9 FIT,FIT
CIVIC EXT,CIVIC
CIVIC 1.0EX,CIVIC
CIVIC FERIO UA-ES1,CIVIC
CIVIC FK6,CIVIC
ED 325MP,CIVIC
CIVIC C9,CIVIC
CIVIC BRAND NEW,CIVIC
VEZEL HYBRID DAA-RU3,VEZEL
FIT 1.3A,FIT
ACCORD,ACCORD
VEZEL HYBRID Z DAA-RU3,VEZEL
ED 352 MP,CIVIC
CIVIC ED,CIVIC
DAA-RU3 VEZEL,VEZEL
N BOX,N BOX
CITY 1.5L 5MT,CITY
DAA-MH55S CIVIC,CIVIC
E-RD1,CRV
DBA-JH1N WGN,N WGN
FIT GD1,FIT
