model,map_model_name
NV350 CARAVAN LDF-VW2E26,CARAVAN
B14 SUNNY,SUNNY
B13 SUNNY,SUNNY
E-FB12-SUNNY,SUNNY
LDF VWE25-CARAVAN DX,CARAVAN
LDF-VW6E26,CARAVAN
LDF-VW2E26,CARAVAN
EBD-U71V,CLIPPER
U-VRMGE 24,CARAVAN
LDF-VWE25,CARAVAN
LEAF ACCENTA,LEAF
VANETTE HALF BODY,VANETTE
DAA-HT32 X-TRAIL,X-TRAIL
VJGE 24 URVAN,CARAVAN
CBF-VR2E26 CARAVAN,CARAVAN
EBD-DR64V,CLIPPER
BLUE BIRD TA-FG10,BLUEBIRD
CBA-FG10,BLUEBIRD
U71T,CLIPPER
GBD-U71T,CLIPPER
CARAVAN NV 350,CARAVAN
LEAF X,LEAF
KG-SK22VN,VANETTE
ZZA-AZE0,LEAF
BCA3-SUNNY,SUNNY
DAA-HNT32,X-TRAIL
TEANA 250XL,TEANA
DBA-B21W DAYZ HIGHWAY STAR,DAYZ
TA-NT30 JEEP,X-TRAIL
GBD-U72V,CLIPPER
LEAF G,LEAF
GBD-U71T CLIPPER (FREEZER),CLIPPER
TA-FG10,BLUEBIRD
GE-CQGE25,CARAVAN
NAVARA AVENTURA,NAVARA
E-HB12 LAWREL,SUNNY
N-VYE24,CARAVAN
UA-J31,TEANA
VYGE23,CARAVAN
KG-VWE25,CARAVAN
TA-TP12,PRIMERA
N-VUGJC22,VANETTE
N-VYGE24,CARAVAN
DAA-HFC26,SERENA
HBD-DR17V,CLIPPER
CALIFORNIA,SUNNY
DR17V CLIPPER,CLIPPER
UA-TP12,PRIMERA
LFMD22 DOUBLE CAB,DOUBLE CAB
NV100 CLIPPER,NV100
HB12,SUNNY
HRB-DR17V,CLIPPER
DBA-NT32,X-TRAIL
GBD - U71T CLIPPER,CLIPPER
GBD-U71V NV100 CLIPPER,NV100
GF-B15,SUNNY
E-WHB12CALIFONI,SUNNY
SUNNY SUPER SALOON,SUNNY
Y KRMGE2,CARAVAN
SUNNY B11,SUNNY
DBF-VM20-NV200,VANETTE
TA-WFY11,WINGROAD
LDF-VW25E26,CARAVAN
NV 200 VANETTE,VANETTE
E-WFB12,SUNNY
CLIPPER,CLIPPER
X-TRAIL TA-NT30,X-TRAIL
EBD-DR16T,CLIPPER
BHN13 SUNNY,SUNNY
MARCH (GH-K11),MARCH
SUNNY VB11,SUNNY
DBA-SC11 TIIDA,TIIDA
TA-T30,X-TRAIL
AD CJ-VY11,AD WAGON
LDF-DW4E26 NV350-CARVAN,CARAVAN
MARCH K10,MARCH
SHILPHY,SYLPHY
SUNNY VIP M,SUNNY
VANETTE H/BODY TRUCK,VANETTE
VAN,SERENA
SUNNY 1.6A,SUNNY
TB-VY11,AD WAGON
VUJC23-SERENA,SERENA
NAVARA D/C,NAVARA
VR024,CARAVAN
DBF-VM20,VANETTE
ABA-DR17W,CLIPPER
PATROL,PATROL
VHB11,AD WAGON
HBD DR17V CLIPPER,CLIPPER
HB 12FU-SUNNY,SUNNY
ADF-VWE25,CARAVAN
FB13-CLOSED,SUNNY
QASHQAI,QASHQAI
SB 13 SUNNY,SUNNY
GB-VTE24,CARAVAN
KC-CRGE24,CARAVAN
PULSER FN13,PULSAR
DBA-B21W,DAYZ
DBA-B21A,DAYZ
SUNNY-B12,SUNNY
SUNNY B14,SUNNY
VFY11-WAGON,WINGROAD
HDB-DR64V CLIPPER,CLIPPER
UN13-PULSAR,PULSAR
SUNNY GL,SUNNY
