,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1262,2024-09-22,210100.0,201400.0,213400.0
1263,2024-09-23,210300.0,201200.0,213200.0
1264,2024-09-24,210600.0,201600.0,213600.0
1265,2024-09-25,210200.0,201200.0,213200.0
1266,2024-09-26,210300.0,201100.0,213100.0
1267,2024-09-27,209800.0,200800.0,212800.0
1268,2024-09-28,210100.0,200900.0,212900.0
1269,2024-09-29,210200.0,200900.0,212900.0
1270,2024-09-30,210200.0,201200.0,213200.0
1271,2024-10-01,210400.0,201800.0,213800.0
1272,2024-10-02,210900.0,202600.0,214600.0
1273,2024-10-03,211300.0,202900.0,214900.0
1274,2024-10-04,211700.0,202900.0,214900.0
1275,2024-10-05,212000.0,203400.0,215400.0
1276,2024-10-06,212400.0,203700.0,215700.0
1277,2024-10-07,212500.0,203500.0,215500.0
1278,2024-10-08,212400.0,203300.0,215300.0
1279,2024-10-09,212100.0,203300.0,215300.0
1280,2024-10-10,212500.0,203600.0,215600.0
1281,2024-10-11,212900.0,203600.0,215600.0
1282,2024-10-12,212900.0,204100.0,216100.0
1283,2024-10-13,212900.0,204400.0,216400.0
1284,2024-10-14,213000.0,204700.0,216700.0
1285,2024-10-15,213200.0,204300.0,216300.0
1286,2024-10-16,213800.0,204600.0,216600.0
1287,2024-10-17,213900.0,205000.0,217000.0
1288,2024-10-18,214400.0,205600.0,217600.0
1289,2024-10-19,215500.0,207500.0,219500.0
1290,2024-10-20,215900.0,208200.0,220200.0
1291,2024-10-21,216500.0,208500.0,220500.0
1292,2024-10-22,217400.0,209200.0,221200.0
1293,2024-10-23,217700.0,209200.0,221200.0
1294,2024-10-24,218200.0,208900.0,220900.0
1295,2024-10-25,218500.0,209300.0,221300.0
1296,2024-10-26,217900.0,209500.0,221500.0
1297,2024-10-27,218400.0,209500.0,221500.0
1298,2024-10-28,218500.0,209600.0,221600.0
1299,2024-10-29,218800.0,210000.0,222000.0
1300,2024-10-30,219300.0,210300.0,222300.0
1301,2024-10-31,219600.0,211300.0,223300.0
1302,2024-11-01,220300.0,212000.0,224000.0
1303,2024-11-02,220900.0,212800.0,224800.0
1304,2024-11-03,221100.0,212700.0,224700.0
1305,2024-11-04,221600.0,212800.0,224800.0
1306,2024-11-05,221800.0,213100.0,225100.0
1307,2024-11-06,222200.0,213000.0,225000.0
1308,2024-11-07,222400.0,213400.0,225400.0
1309,2024-11-08,222700.0,214200.0,226200.0
1310,2024-11-09,223600.0,215600.0,227600.0
1311,2024-11-10,224200.0,216000.0,228000.0
1312,2024-11-11,224700.0,216300.0,228300.0
1313,2024-11-12,225100.0,216900.0,228900.0
1314,2024-11-13,225400.0,216900.0,228900.0
1315,2024-11-14,225900.0,216500.0,228500.0
1316,2024-11-15,226100.0,216800.0,228800.0
1317,2024-11-16,226200.0,217700.0,229700.0
1318,2024-11-17,227100.0,218800.0,230800.0
1319,2024-11-18,227800.0,219700.0,231700.0
1320,2024-11-19,228100.0,220000.0,232000.0
1321,2024-11-20,228400.0,220100.0,232100.0
1322,2024-11-21,229000.0,220400.0,232400.0
1323,2024-11-22,229000.0,219500.0,231500.0
1324,2024-11-23,228900.0,219200.0,231200.0
1325,2024-11-24,228700.0,219700.0,231700.0
1326,2024-11-25,228600.0,219900.0,231900.0
1327,2024-11-26,228700.0,219600.0,231600.0
1328,2024-11-27,229000.0,220200.0,232200.0
1329,2024-11-28,228900.0,220400.0,232400.0
1330,2024-11-29,229200.0,220100.0,232100.0
1331,2024-11-30,229500.0,220500.0,232500.0
1332,2024-12-01,229200.0,220400.0,232400.0
1333,2024-12-02,229200.0,220100.0,232100.0
1334,2024-12-03,229400.0,220200.0,232200.0
1335,2024-12-04,229600.0,220700.0,232700.0
1336,2024-12-05,229600.0,220600.0,232600.0
1337,2024-12-06,230000.0,221200.0,233200.0
1338,2024-12-07,230200.0,221900.0,233900.0
1339,2024-12-08,231000.0,222700.0,234700.0
1340,2024-12-09,231500.0,222900.0,234900.0
1341,2024-12-10,231500.0,222900.0,234900.0
1342,2024-12-11,231800.0,223300.0,235300.0
1343,2024-12-12,232400.0,223700.0,235700.0
1344,2024-12-13,232700.0,223600.0,235600.0
1345,2024-12-14,232700.0,223600.0,235600.0
1346,2024-12-15,232600.0,224200.0,236200.0
1347,2024-12-16,232700.0,224000.0,236000.0
1348,2024-12-17,233500.0,224300.0,236300.0
1349,2024-12-18,233500.0,224500.0,236500.0
1350,2024-12-19,233600.0,224900.0,236900.0
1351,2024-12-20,233800.0,225200.0,237200.0
1352,2024-12-21,234400.0,226100.0,238100.0
1353,2024-12-22,235300.0,226800.0,238800.0
