,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1260,2024-09-20,208000.0,199100.0,211100.0
1261,2024-09-21,208000.0,198900.0,210900.0
1262,2024-09-22,207700.0,198400.0,210400.0
1263,2024-09-23,207500.0,198500.0,210500.0
1264,2024-09-24,207600.0,198200.0,210200.0
1265,2024-09-25,208000.0,198700.0,210700.0
1266,2024-09-26,207600.0,198800.0,210800.0
1267,2024-09-27,207700.0,199100.0,211100.0
1268,2024-09-28,207700.0,199200.0,211200.0
1269,2024-09-29,207900.0,198800.0,210800.0
1270,2024-09-30,207800.0,198200.0,210200.0
1271,2024-10-01,207700.0,198400.0,210400.0
1272,2024-10-02,207700.0,198700.0,210700.0
1273,2024-10-03,207900.0,199200.0,211200.0
1274,2024-10-04,207900.0,199200.0,211200.0
1275,2024-10-05,208000.0,199600.0,211600.0
1276,2024-10-06,208200.0,199500.0,211500.0
1277,2024-10-07,208700.0,199500.0,211500.0
1278,2024-10-08,208600.0,199300.0,211300.0
1279,2024-10-09,208600.0,199600.0,211600.0
1280,2024-10-10,208600.0,200000.0,212000.0
1281,2024-10-11,208900.0,200100.0,212100.0
1282,2024-10-12,209000.0,200000.0,212000.0
1283,2024-10-13,209500.0,200800.0,212800.0
1284,2024-10-14,209600.0,200900.0,212900.0
1285,2024-10-15,209600.0,200700.0,212700.0
1286,2024-10-16,209900.0,201100.0,213100.0
1287,2024-10-17,210100.0,201500.0,213500.0
1288,2024-10-18,210500.0,201500.0,213500.0
1289,2024-10-19,210900.0,201900.0,213900.0
1290,2024-10-20,210900.0,202500.0,214500.0
1291,2024-10-21,211400.0,203000.0,215000.0
1292,2024-10-22,211800.0,203100.0,215100.0
1293,2024-10-23,212000.0,203300.0,215300.0
1294,2024-10-24,212600.0,203900.0,215900.0
1295,2024-10-25,212900.0,204300.0,216300.0
1296,2024-10-26,213300.0,204500.0,216500.0
1297,2024-10-27,214300.0,206000.0,218000.0
1298,2024-10-28,214600.0,206500.0,218500.0
1299,2024-10-29,214800.0,206300.0,218300.0
1300,2024-10-30,215200.0,206600.0,218600.0
1301,2024-10-31,215200.0,206600.0,218600.0
1302,2024-11-01,215800.0,206400.0,218400.0
1303,2024-11-02,215900.0,206400.0,218400.0
1304,2024-11-03,215400.0,206700.0,218700.0
1305,2024-11-04,215700.0,207200.0,219200.0
1306,2024-11-05,216100.0,207500.0,219500.0
1307,2024-11-06,216200.0,207200.0,219200.0
1308,2024-11-07,216800.0,207900.0,219900.0
1309,2024-11-08,217300.0,209200.0,221200.0
1310,2024-11-09,217800.0,209200.0,221200.0
1311,2024-11-10,218600.0,210200.0,222200.0
1312,2024-11-11,219100.0,211200.0,223200.0
1313,2024-11-12,219900.0,211900.0,223900.0
1314,2024-11-13,220200.0,211200.0,223200.0
1315,2024-11-14,220300.0,211500.0,223500.0
1316,2024-11-15,220200.0,211300.0,223300.0
1317,2024-11-16,220800.0,211700.0,223700.0
1318,2024-11-17,220800.0,211500.0,223500.0
1319,2024-11-18,220900.0,212100.0,224100.0
1320,2024-11-19,220900.0,212700.0,224700.0
1321,2024-11-20,221500.0,213000.0,225000.0
1322,2024-11-21,221800.0,212800.0,224800.0
1323,2024-11-22,221900.0,212900.0,224900.0
1324,2024-11-23,222200.0,213400.0,225400.0
1325,2024-11-24,222300.0,213400.0,225400.0
1326,2024-11-25,222600.0,213700.0,225700.0
1327,2024-11-26,222600.0,213900.0,225900.0
1328,2024-11-27,222500.0,213800.0,225800.0
1329,2024-11-28,222500.0,213300.0,225300.0
1330,2024-11-29,222800.0,213600.0,225600.0
1331,2024-11-30,222600.0,213400.0,225400.0
1332,2024-12-01,223000.0,214100.0,226100.0
1333,2024-12-02,223100.0,214600.0,226600.0
1334,2024-12-03,223600.0,215300.0,227300.0
1335,2024-12-04,223800.0,215200.0,227200.0
1336,2024-12-05,223800.0,215100.0,227100.0
1337,2024-12-06,223900.0,214800.0,226800.0
1338,2024-12-07,223900.0,214500.0,226500.0
1339,2024-12-08,223600.0,214200.0,226200.0
1340,2024-12-09,223400.0,214100.0,226100.0
1341,2024-12-10,223100.0,214300.0,226300.0
1342,2024-12-11,223500.0,214600.0,226600.0
1343,2024-12-12,223900.0,215100.0,227100.0
1344,2024-12-13,224100.0,215500.0,227500.0
1345,2024-12-14,224600.0,216200.0,228200.0
1346,2024-12-15,225000.0,216800.0,228800.0
1347,2024-12-16,225500.0,216900.0,228900.0
1348,2024-12-17,226200.0,217500.0,229500.0
1349,2024-12-18,226200.0,217500.0,229500.0
1350,2024-12-19,226600.0,217900.0,229900.0
1351,2024-12-20,226700.0,217900.0,229900.0
