,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1257,2024-09-17,209100.0,199400.0,211400.0
1258,2024-09-18,208800.0,198200.0,210200.0
1259,2024-09-19,209100.0,198400.0,210400.0
1260,2024-09-20,208400.0,197900.0,209900.0
1261,2024-09-21,208100.0,197900.0,209900.0
1262,2024-09-22,207300.0,197000.0,209000.0
1263,2024-09-23,207300.0,197400.0,209400.0
1264,2024-09-24,207400.0,197100.0,209100.0
1265,2024-09-25,207800.0,197400.0,209400.0
1266,2024-09-26,207400.0,197500.0,209500.0
1267,2024-09-27,207400.0,197900.0,209900.0
1268,2024-09-28,207400.0,198100.0,210100.0
1269,2024-09-29,208100.0,197900.0,209900.0
1270,2024-09-30,208100.0,197800.0,209800.0
1271,2024-10-01,208200.0,198200.0,210200.0
1272,2024-10-02,207900.0,198100.0,210100.0
1273,2024-10-03,207900.0,198100.0,210100.0
1274,2024-10-04,208000.0,197800.0,209800.0
1275,2024-10-05,207900.0,197900.0,209900.0
1276,2024-10-06,208100.0,197900.0,209900.0
1277,2024-10-07,208100.0,198100.0,210100.0
1278,2024-10-08,208000.0,198400.0,210400.0
1279,2024-10-09,209000.0,199500.0,211500.0
1280,2024-10-10,209100.0,199700.0,211700.0
1281,2024-10-11,210100.0,200600.0,212600.0
1282,2024-10-12,210700.0,201500.0,213500.0
1283,2024-10-13,211100.0,202200.0,214200.0
1284,2024-10-14,211900.0,202200.0,214200.0
1285,2024-10-15,212100.0,202700.0,214700.0
1286,2024-10-16,212400.0,202600.0,214600.0
1287,2024-10-17,212700.0,202500.0,214500.0
1288,2024-10-18,212800.0,202900.0,214900.0
1289,2024-10-19,213200.0,203300.0,215300.0
1290,2024-10-20,213300.0,203800.0,215800.0
1291,2024-10-21,213200.0,203200.0,215200.0
1292,2024-10-22,213300.0,203500.0,215500.0
1293,2024-10-23,213400.0,203400.0,215400.0
1294,2024-10-24,214200.0,203900.0,215900.0
1295,2024-10-25,214100.0,204100.0,216100.0
1296,2024-10-26,214400.0,205100.0,217100.0
1297,2024-10-27,214500.0,205500.0,217500.0
1298,2024-10-28,214600.0,205000.0,217000.0
1299,2024-10-29,215200.0,205000.0,217000.0
1300,2024-10-30,215700.0,205800.0,217800.0
1301,2024-10-31,216200.0,206300.0,218300.0
1302,2024-11-01,216900.0,207300.0,219300.0
1303,2024-11-02,216900.0,208300.0,220300.0
1304,2024-11-03,217500.0,208700.0,220700.0
1305,2024-11-04,218300.0,208600.0,220600.0
1306,2024-11-05,218000.0,207600.0,219600.0
1307,2024-11-06,217900.0,207200.0,219200.0
1308,2024-11-07,217900.0,207800.0,219800.0
1309,2024-11-08,218000.0,208000.0,220000.0
1310,2024-11-09,218100.0,208000.0,220000.0
1311,2024-11-10,218500.0,209300.0,221300.0
1312,2024-11-11,218800.0,209800.0,221800.0
1313,2024-11-12,219900.0,210300.0,222300.0
1314,2024-11-13,220200.0,210400.0,222400.0
1315,2024-11-14,220500.0,211200.0,223200.0
1316,2024-11-15,221200.0,211800.0,223800.0
1317,2024-11-16,221800.0,212300.0,224300.0
1318,2024-11-17,221600.0,211800.0,223800.0
1319,2024-11-18,222000.0,212400.0,224400.0
1320,2024-11-19,221900.0,212200.0,224200.0
1321,2024-11-20,222200.0,211800.0,223800.0
1322,2024-11-21,222200.0,211600.0,223600.0
1323,2024-11-22,222300.0,212700.0,224700.0
1324,2024-11-23,222200.0,212500.0,224500.0
1325,2024-11-24,222900.0,213200.0,225200.0
1326,2024-11-25,222700.0,213100.0,225100.0
1327,2024-11-26,223200.0,213700.0,225700.0
1328,2024-11-27,223400.0,213300.0,225300.0
1329,2024-11-28,223500.0,213600.0,225600.0
1330,2024-11-29,223100.0,213000.0,225000.0
1331,2024-11-30,224100.0,214400.0,226400.0
1332,2024-12-01,224100.0,214500.0,226500.0
1333,2024-12-02,224800.0,215100.0,227100.0
1334,2024-12-03,224900.0,215600.0,227600.0
1335,2024-12-04,225200.0,216200.0,228200.0
1336,2024-12-05,225800.0,215900.0,227900.0
1337,2024-12-06,226300.0,216100.0,228100.0
1338,2024-12-07,226000.0,216100.0,228100.0
1339,2024-12-08,226300.0,216400.0,228400.0
1340,2024-12-09,226200.0,216500.0,228500.0
1341,2024-12-10,226400.0,216400.0,228400.0
1342,2024-12-11,226900.0,217100.0,229100.0
1343,2024-12-12,227100.0,217300.0,229300.0
1344,2024-12-13,227100.0,217200.0,229200.0
1345,2024-12-14,227000.0,217300.0,229300.0
1346,2024-12-15,227600.0,218100.0,230100.0
1347,2024-12-16,227900.0,217900.0,229900.0
1348,2024-12-17,227900.0,217600.0,229600.0
