brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
TOYOTA,19 OCT,CHR,2017,AUTOMATIC,PETROL,1200,15700000
TOYOTA,19 OCT,ALLION,2003,AUTOMATIC,PETROL,1500,6775000
TOYOTA,20 OCT,AXIO,2015,AUTOMATIC,PETROL,1500,11600000
TOYOTA,19 OCT,CHR,2018,AUTOMATIC,PETROL,1190,16190000
TOYOTA,19 OCT,VITZ,2007,AUTOMATIC,PETROL,1300,5550000
TOYOTA,19 OCT,CHR,2018,AUTOMATIC,PETROL,1190,16390000
TOYOTA,19 OCT,PRIUS,2014,AUTOMATIC,PETROL,1800,10700000
TOYOTA,19 OCT,IST,2002,AUTOMATIC,PETROL,1298,5150000
TOYOTA,20 OCT,CARINA,1999,AUTOMATIC,PETROL,1490,4125000
TOYOTA,19 OCT,SOLUNA,2000,AUTOMATIC,PETROL,1498,3175000
TOYOTA,19 OCT,PASSO,2007,AUTOMATIC,PETROL,990,4575000
TOYOTA,19 OCT,PASSO,2018,AUTOMATIC,PETROL,990,7890000
TOYOTA,19 OCT,LAND CRUISER PRADO,2014,AUTOMATIC,PETROL,2700,44500000
TOYOTA,19 OCT,YARIS,2007,AUTOMATIC,PETROL,1300,6490000
TOYOTA,19 OCT,VITZ,2007,AUTOMATIC,PETROL,1000,5350000
TOYOTA,19 OCT,LAND CRUISER SAHARA,2001,AUTOMATIC,PETROL,4700,21000000
TOYOTA,19 OCT,LAND CRUISER PRADO,2016,AUTOMATIC,PETROL,2700,59500000
TOYOTA,19 OCT,VITZ,2008,AUTOMATIC,PETROL,1000,5460000
TOYOTA,19 OCT,FJ CRUISER,2014,AUTOMATIC,PETROL,3990,36000000
TOYOTA,21 OCT,CAMRY,2011,AUTOMATIC,PETROL,2500,15800000
TOYOTA,21 OCT,VITZ,2016,AUTOMATIC,PETROL,1000,7649997
TOYOTA,19 OCT,PREMIO,2010,AUTOMATIC,PETROL,1500,10850000
TOYOTA,19 OCT,VIOS,2003,AUTOMATIC,PETROL,1500,4900000
TOYOTA,20 OCT,VITZ,2018,AUTOMATIC,PETROL,1000,9300000
TOYOTA,19 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16800000
TOYOTA,19 OCT,PRIUS,2014,AUTOMATIC,PETROL,1800,11000000
TOYOTA,19 OCT,CHR,2018,AUTOMATIC,PETROL,1200,15950000
TOYOTA,19 OCT,PREMIO,2014,AUTOMATIC,PETROL,1500,13850000
TOYOTA,19 OCT,ALLION,2007,AUTOMATIC,PETROL,1490,8975000
TOYOTA,19 OCT,IST,2008,AUTOMATIC,PETROL,1500,7390000
TOYOTA,19 OCT,WIGO,2017,AUTOMATIC,PETROL,998,6890000
TOYOTA,19 OCT,AQUA,2012,AUTOMATIC,PETROL,1500,7750000
TOYOTA,19 OCT,ALLION,2010,AUTOMATIC,PETROL,1500,10100000
TOYOTA,19 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16850000
TOYOTA,19 OCT,TANK,2018,AUTOMATIC,PETROL,1000,9950000
TOYOTA,19 OCT,ALLION,2016,AUTOMATIC,PETROL,1500,16850000
TOYOTA,19 OCT,RAV4,2021,AUTOMATIC,PETROL,2000,42000000
TOYOTA,19 OCT,LAND CRUISER PRADO,2015,AUTOMATIC,PETROL,2690,52490000
TOYOTA,19 OCT,LAND CRUISER PRADO,2008,AUTOMATIC,PETROL,2700,20500000
TOYOTA,19 OCT,BELTA,2007,AUTOMATIC,PETROL,1000,6290000
TOYOTA,19 OCT,AURIS,2015,AUTOMATIC,PETROL,1200,15500000
TOYOTA,19 OCT,AQUA,2012,AUTOMATIC,PETROL,1500,7290000
TOYOTA,19 OCT,COROLLA,2008,AUTOMATIC,PETROL,1600,6695000
TOYOTA,21 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16675000
TOYOTA,19 OCT,PREMIO,2016,AUTOMATIC,PETROL,1500,16600000
TOYOTA,20 OCT,PREMIO,2006,AUTOMATIC,PETROL,1500,6875000
TOYOTA,19 OCT,RUSH,2010,AUTOMATIC,PETROL,1500,8800000
TOYOTA,18 OCT,VITZ,2007,AUTOMATIC,PETROL,1000,5500000
TOYOTA,20 OCT,VITZ,2017,AUTOMATIC,PETROL,1000,7850000
TOYOTA,18 OCT,PREMIO,2019,AUTOMATIC,PETROL,1500,20875000
TOYOTA,20 OCT,VITZ,2017,AUTOMATIC,PETROL,1000,8290000
TOYOTA,18 OCT,CHR,2020,AUTOMATIC,PETROL,1200,15690000
TOYOTA,18 OCT,LAND CRUISER PRADO,2013,AUTOMATIC,PETROL,2700,41000000
TOYOTA,18 OCT,VITZ,2007,AUTOMATIC,PETROL,1000,5475000
TOYOTA,18 OCT,BELTA,2010,AUTOMATIC,PETROL,1300,7500000
TOYOTA,18 OCT,RUSH,2018,AUTOMATIC,PETROL,1500,17290000
TOYOTA,18 OCT,HARRIER,2015,AUTOMATIC,PETROL,2000,28990000
TOYOTA,18 OCT,PREMIO,2019,AUTOMATIC,PETROL,1490,21590000
TOYOTA,18 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16790000
TOYOTA,19 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16790000
TOYOTA,20 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16690000
TOYOTA,18 OCT,COROLLA,2008,AUTOMATIC,PETROL,1600,7390000
TOYOTA,18 OCT,CHR,2017,AUTOMATIC,PETROL,1190,16290000
TOYOTA,18 OCT,HARRIER,2017,AUTOMATIC,PETROL,2000,31250000
TOYOTA,18 OCT,IST,2003,AUTOMATIC,PETROL,1290,5490000
TOYOTA,18 OCT,VITZ,2018,AUTOMATIC,PETROL,990,9600000
TOYOTA,18 OCT,ROOMY,2017,AUTOMATIC,PETROL,1000,8975000
TOYOTA,19 OCT,HARRIER,2017,AUTOMATIC,PETROL,1998,33900000
TOYOTA,18 OCT,VITZ,2015,AUTOMATIC,PETROL,1000,7300000
TOYOTA,18 OCT,ALLION,2009,AUTOMATIC,PETROL,1500,9800000
TOYOTA,18 OCT,AXIO,2012,AUTOMATIC,PETROL,1500,9090000
TOYOTA,18 OCT,AXIO,2013,AUTOMATIC,PETROL,1500,9575000
TOYOTA,20 OCT,VITZ,2021,AUTOMATIC,PETROL,1000,8850000
TOYOTA,18 OCT,CHR,2019,AUTOMATIC,PETROL,1200,18251000
TOYOTA,18 OCT,AXIO,2007,AUTOMATIC,PETROL,1500,7125000
TOYOTA,18 OCT,PRIUS,2009,AUTOMATIC,PETROL,1800,8395000
TOYOTA,18 OCT,PREMIO,2014,AUTOMATIC,PETROL,1500,16475000
TOYOTA,18 OCT,ALLION,2013,AUTOMATIC,PETROL,1500,15475000
TOYOTA,18 OCT,PREMIO,2015,AUTOMATIC,PETROL,1490,14250000
TOYOTA,20 OCT,COROLLA,2010,AUTOMATIC,PETROL,1599,7450000
TOYOTA,17 OCT,VITZ,2018,AUTOMATIC,PETROL,1000,9500000
TOYOTA,17 OCT,LAND CRUISER PRADO,2002,AUTOMATIC,PETROL,2700,13800000
TOYOTA,17 OCT,WIGO,2019,AUTOMATIC,PETROL,998,6800000
TOYOTA,17 OCT,YARIS,2008,AUTOMATIC,PETROL,1300,6390000
TOYOTA,18 OCT,AXIO,2015,AUTOMATIC,PETROL,1500,11250000
TOYOTA,19 OCT,CHR,2019,AUTOMATIC,PETROL,1200,18400000
TOYOTA,17 OCT,CHR,2018,AUTOMATIC,PETROL,1500,16550000
TOYOTA,17 OCT,HARRIER,2014,AUTOMATIC,PETROL,2000,21750000
TOYOTA,17 OCT,VOXY,2015,AUTOMATIC,PETROL,2000,18150000
TOYOTA,20 OCT,CARINA,2000,AUTOMATIC,PETROL,1500,5690000
TOYOTA,17 OCT,PREMIO,2012,AUTOMATIC,PETROL,1500,11600000
TOYOTA,17 OCT,CORONA,1991,AUTOMATIC,PETROL,1500,1975000
TOYOTA,18 OCT,COROLLA,2008,AUTOMATIC,PETROL,1600,6790000
TOYOTA,17 OCT,PRIUS,2008,AUTOMATIC,PETROL,1500,6200000
TOYOTA,17 OCT,COROLLA,2008,AUTOMATIC,PETROL,1590,6990000
TOYOTA,17 OCT,VITZ,2008,AUTOMATIC,PETROL,1300,5950000
TOYOTA,19 OCT,CHR,2018,AUTOMATIC,PETROL,1190,15950000
TOYOTA,17 OCT,BELTA,2007,AUTOMATIC,PETROL,1300,6600000
TOYOTA,20 OCT,ALLION,2013,AUTOMATIC,PETROL,1500,11950000
TOYOTA,17 OCT,VITZ,2008,AUTOMATIC,PETROL,1000,5700000
TOYOTA,17 OCT,RAIZE,2019,AUTOMATIC,PETROL,1000,14600000
TOYOTA,17 OCT,CHR,2018,AUTOMATIC,PETROL,1200,17000000
TOYOTA,16 OCT,ALLION,2011,AUTOMATIC,PETROL,1500,9645000
TOYOTA,16 OCT,LAND CRUISER PRADO,2010,AUTOMATIC,PETROL,2690,33800000
TOYOTA,16 OCT,COROLLA,2005,AUTOMATIC,PETROL,1300,5725000
TOYOTA,16 OCT,YARIS,2008,AUTOMATIC,PETROL,1300,6575000
TOYOTA,16 OCT,CHR,2018,AUTOMATIC,PETROL,1190,16690000
TOYOTA,16 OCT,LAND CRUISER PRADO,2010,AUTOMATIC,PETROL,2650,31850000
TOYOTA,20 OCT,COROLLA,2003,AUTOMATIC,PETROL,1500,5850000
TOYOTA,16 OCT,HARRIER,2019,AUTOMATIC,PETROL,1990,38800000
TOYOTA,16 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16475000
TOYOTA,16 OCT,VITZ,2018,AUTOMATIC,PETROL,1000,9225000
TOYOTA,17 OCT,CARINA,2000,AUTOMATIC,PETROL,1500,5950000
TOYOTA,17 OCT,VITZ,2018,AUTOMATIC,PETROL,996,9850000
TOYOTA,16 OCT,AXIO,2015,AUTOMATIC,PETROL,1490,11000000
TOYOTA,16 OCT,AXIO,2007,AUTOMATIC,PETROL,1490,8075000
TOYOTA,16 OCT,COROLLA,1999,AUTOMATIC,PETROL,1500,3175000
TOYOTA,16 OCT,OTHER MODEL,2012,AUTOMATIC,PETROL,2400,13500000
TOYOTA,16 OCT,YARIS,2019,AUTOMATIC,PETROL,1197,14490000
TOYOTA,16 OCT,VIOS,2007,AUTOMATIC,PETROL,1500,6375000
TOYOTA,17 OCT,ALLION,2013,AUTOMATIC,PETROL,1500,11590000
TOYOTA,17 OCT,VIOS,2003,AUTOMATIC,PETROL,1500,4685000
TOYOTA,16 OCT,PREMIO,2016,AUTOMATIC,PETROL,1500,15500000
TOYOTA,17 OCT,RAV4,2006,AUTOMATIC,PETROL,2360,8000000
TOYOTA,16 OCT,HARRIER,2016,AUTOMATIC,PETROL,2000,27800000
TOYOTA,17 OCT,VITZ,2018,AUTOMATIC,PETROL,1000,9150000
TOYOTA,16 OCT,PREMIO,2011,AUTOMATIC,PETROL,1500,11000000
TOYOTA,15 OCT,LAND CRUISER PRADO,2017,AUTOMATIC,PETROL,3000,59800000
TOYOTA,15 OCT,PRIUS,2012,AUTOMATIC,PETROL,1798,9200000
TOYOTA,15 OCT,LAND CRUISER PRADO,2008,AUTOMATIC,PETROL,2700,22500000
TOYOTA,15 OCT,PREMIO,2012,AUTOMATIC,PETROL,1500,11800000
TOYOTA,15 OCT,PREMIO,2011,AUTOMATIC,PETROL,1496,11350000
TOYOTA,15 OCT,COROLLA,2002,AUTOMATIC,PETROL,1495,5890000
