brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
TOYOTA,23 SEP,COROLLA,2008,AUTOMATIC,PETROL,1600,6900000
TOYOTA,23 SEP,RAIZE,2020,AUTOMATIC,PETROL,1000,15000000
TOYOTA,23 SEP,CHR,2017,AUTOMATIC,PETROL,1200,16550000
TOYOTA,23 SEP,ALLION,2007,AUTOMATIC,PETROL,1500,8595000
TOYOTA,23 SEP,ALLION,2017,AUTOMATIC,PETROL,1500,16800000
TOYOTA,23 SEP,IST,2002,AUTOMATIC,PETROL,1290,5390000
TOYOTA,23 SEP,VITZ,2017,AUTOMATIC,PETROL,1000,8590000
TOYOTA,23 SEP,VITZ,2007,AUTOMATIC,PETROL,1000,6190000
TOYOTA,23 SEP,LAND CRUISER PRADO,2008,AUTOMATIC,PETROL,2700,20500000
TOYOTA,23 SEP,LAND CRUISER PRADO,2006,AUTOMATIC,PETROL,4000,20500000
TOYOTA,23 SEP,CAMRY,2013,AUTOMATIC,PETROL,2487,15800000
TOYOTA,23 SEP,COROLLA,1997,AUTOMATIC,PETROL,1500,3650000
TOYOTA,23 SEP,AXIO,2007,AUTOMATIC,PETROL,1500,7300000
TOYOTA,23 SEP,CHR,2018,AUTOMATIC,PETROL,1200,15990000
TOYOTA,23 SEP,PREMIO,2017,AUTOMATIC,PETROL,1500,17400000
TOYOTA,23 SEP,CHR,2018,AUTOMATIC,PETROL,1200,16990000
TOYOTA,23 SEP,CHR,2017,AUTOMATIC,PETROL,1200,14990000
TOYOTA,23 SEP,ALLION,2016,AUTOMATIC,PETROL,1500,16700000
TOYOTA,23 SEP,CHR,2019,AUTOMATIC,PETROL,1200,18850000
TOYOTA,23 SEP,CHR,2017,AUTOMATIC,PETROL,1200,14650000
TOYOTA,23 SEP,PREMIO,2016,AUTOMATIC,PETROL,1500,15450000
TOYOTA,22 SEP,CHR,2017,AUTOMATIC,PETROL,1200,15200000
TOYOTA,24 SEP,RUSH,2018,AUTOMATIC,PETROL,1500,17400000
TOYOTA,21 SEP,COROLLA,1999,AUTOMATIC,PETROL,1300,3775000
TOYOTA,21 SEP,PREMIO,2008,AUTOMATIC,PETROL,1500,10700000
TOYOTA,21 SEP,PREMIO,2015,AUTOMATIC,PETROL,1500,14950000
