,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
2807,2024-10-08,200500.0,190200.0,202200.0
2808,2024-10-09,200400.0,190200.0,202200.0
2809,2024-10-10,200300.0,192000.0,204000.0
2810,2024-10-11,200200.0,193800.0,205800.0
2811,2024-10-12,200100.0,191800.0,203800.0
2812,2024-10-13,200100.0,190000.0,202000.0
2813,2024-10-14,200100.0,190100.0,202100.0
2814,2024-10-15,200200.0,190200.0,202200.0
2815,2024-10-16,200400.0,190600.0,202600.0
2816,2024-10-17,200600.0,192700.0,204700.0
2817,2024-10-18,200700.0,194700.0,206700.0
2818,2024-10-19,200900.0,192800.0,204800.0
2819,2024-10-20,200900.0,190900.0,202900.0
2820,2024-10-21,201000.0,190800.0,202800.0
2821,2024-10-22,201200.0,191000.0,203000.0
2822,2024-10-23,201100.0,191200.0,203200.0
2823,2024-10-24,201100.0,193100.0,205100.0
2824,2024-10-25,201300.0,195300.0,207300.0
2825,2024-10-26,201400.0,193400.0,205400.0
2826,2024-10-27,201500.0,191400.0,203400.0
2827,2024-10-28,201800.0,191700.0,203700.0
2828,2024-10-29,201900.0,192000.0,204000.0
2829,2024-10-30,202000.0,192100.0,204100.0
2830,2024-10-31,202200.0,194300.0,206300.0
2831,2024-11-01,202400.0,196600.0,208600.0
2832,2024-11-02,202600.0,194600.0,206600.0
2833,2024-11-03,202800.0,192700.0,204700.0
2834,2024-11-04,203000.0,193100.0,205100.0
2835,2024-11-05,203100.0,193200.0,205200.0
2836,2024-11-06,203300.0,193300.0,205300.0
2837,2024-11-07,203500.0,195600.0,207600.0
2838,2024-11-08,203500.0,197600.0,209600.0
2839,2024-11-09,203900.0,195800.0,207800.0
2840,2024-11-10,204200.0,194200.0,206200.0
2841,2024-11-11,204700.0,195000.0,207000.0
2842,2024-11-12,204700.0,194900.0,206900.0
2843,2024-11-13,205200.0,195600.0,207600.0
2844,2024-11-14,205600.0,198000.0,210000.0
2845,2024-11-15,206300.0,200600.0,212600.0
2846,2024-11-16,206500.0,198400.0,210400.0
2847,2024-11-17,206700.0,197000.0,209000.0
2848,2024-11-18,206600.0,197000.0,209000.0
2849,2024-11-19,207100.0,196900.0,208900.0
2850,2024-11-20,207300.0,197000.0,209000.0
2851,2024-11-21,207300.0,199100.0,211100.0
2852,2024-11-22,207000.0,201000.0,213000.0
2853,2024-11-23,207200.0,199100.0,211100.0
2854,2024-11-24,207200.0,197300.0,209300.0
2855,2024-11-25,207600.0,197500.0,209500.0
2856,2024-11-26,207900.0,197800.0,209800.0
2857,2024-11-27,208000.0,198400.0,210400.0
2858,2024-11-28,208000.0,200200.0,212200.0
2859,2024-11-29,208100.0,202200.0,214200.0
2860,2024-11-30,208200.0,200000.0,212000.0
2861,2024-12-01,208600.0,198300.0,210300.0
2862,2024-12-02,208600.0,198300.0,210300.0
2863,2024-12-03,208700.0,198800.0,210800.0
2864,2024-12-04,208700.0,199100.0,211100.0
2865,2024-12-05,209100.0,201400.0,213400.0
2866,2024-12-06,209500.0,203400.0,215400.0
2867,2024-12-07,209700.0,201600.0,213600.0
2868,2024-12-08,209600.0,199500.0,211500.0
2869,2024-12-09,210000.0,200200.0,212200.0
2870,2024-12-10,210500.0,200800.0,212800.0
2871,2024-12-11,210900.0,201200.0,213200.0
2872,2024-12-12,211000.0,203200.0,215200.0
2873,2024-12-13,211400.0,205900.0,217900.0
2874,2024-12-14,211700.0,204000.0,216000.0
2875,2024-12-15,212100.0,201800.0,213800.0
2876,2024-12-16,212000.0,201600.0,213600.0
2877,2024-12-17,211700.0,201800.0,213800.0
2878,2024-12-18,211600.0,201600.0,213600.0
2879,2024-12-19,212000.0,203600.0,215600.0
2880,2024-12-20,212000.0,205900.0,217900.0
2881,2024-12-21,212100.0,204200.0,216200.0
2882,2024-12-22,212200.0,202400.0,214400.0
2883,2024-12-23,212700.0,203100.0,215100.0
2884,2024-12-24,213000.0,203200.0,215200.0
2885,2024-12-25,213500.0,203600.0,215600.0
2886,2024-12-26,213700.0,205900.0,217900.0
2887,2024-12-27,214200.0,208600.0,220600.0
2888,2024-12-28,214600.0,206900.0,218900.0
2889,2024-12-29,215000.0,205200.0,217200.0
2890,2024-12-30,215200.0,205400.0,217400.0
2891,2024-12-31,215700.0,205900.0,217900.0
2892,2025-01-01,215900.0,206100.0,218100.0
2893,2025-01-02,216600.0,208500.0,220500.0
2894,2025-01-03,217100.0,211500.0,223500.0
2895,2025-01-04,217500.0,210100.0,222100.0
2896,2025-01-05,217900.0,208300.0,220300.0
2897,2025-01-06,218300.0,208700.0,220700.0
2898,2025-01-07,218400.0,208600.0,220600.0
2899,2025-01-08,218800.0,208600.0,220600.0
