,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1288,2024-10-18,214500.0,204700.0,216700.0
1289,2024-10-19,215000.0,204900.0,216900.0
1290,2024-10-20,215100.0,205100.0,217100.0
1291,2024-10-21,215600.0,206200.0,218200.0
1292,2024-10-22,215800.0,206400.0,218400.0
1293,2024-10-23,216300.0,206900.0,218900.0
1294,2024-10-24,216900.0,207400.0,219400.0
1295,2024-10-25,217300.0,207800.0,219800.0
1296,2024-10-26,217400.0,207400.0,219400.0
1297,2024-10-27,218300.0,208700.0,220700.0
1298,2024-10-28,218900.0,209900.0,221900.0
1299,2024-10-29,219500.0,210100.0,222100.0
1300,2024-10-30,220200.0,210900.0,222900.0
1301,2024-10-31,220000.0,211100.0,223100.0
1302,2024-11-01,220500.0,210700.0,222700.0
1303,2024-11-02,221200.0,210500.0,222500.0
1304,2024-11-03,221000.0,210700.0,222700.0
1305,2024-11-04,221200.0,211200.0,223200.0
1306,2024-11-05,221900.0,212700.0,224700.0
1307,2024-11-06,222000.0,213100.0,225100.0
1308,2024-11-07,222800.0,213300.0,225300.0
1309,2024-11-08,223300.0,214100.0,226100.0
1310,2024-11-09,223500.0,213700.0,225700.0
1311,2024-11-10,223600.0,213100.0,225100.0
1312,2024-11-11,223800.0,213600.0,225600.0
1313,2024-11-12,223800.0,214200.0,226200.0
1314,2024-11-13,224100.0,214200.0,226200.0
1315,2024-11-14,224800.0,215200.0,227200.0
1316,2024-11-15,225200.0,216400.0,228400.0
1317,2024-11-16,226100.0,217000.0,229000.0
1318,2024-11-17,227700.0,218600.0,230600.0
1319,2024-11-18,228000.0,219000.0,231000.0
1320,2024-11-19,228400.0,219200.0,231200.0
1321,2024-11-20,228700.0,219000.0,231000.0
1322,2024-11-21,229200.0,219500.0,231500.0
1323,2024-11-22,229600.0,218900.0,230900.0
1324,2024-11-23,229900.0,219700.0,231700.0
1325,2024-11-24,229100.0,219600.0,231600.0
1326,2024-11-25,229700.0,220500.0,232500.0
1327,2024-11-26,230200.0,220600.0,232600.0
1328,2024-11-27,230500.0,220300.0,232300.0
1329,2024-11-28,230400.0,220300.0,232300.0
1330,2024-11-29,230900.0,221400.0,233400.0
1331,2024-11-30,230700.0,221100.0,233100.0
1332,2024-12-01,231200.0,221100.0,233100.0
1333,2024-12-02,231200.0,221500.0,233500.0
1334,2024-12-03,231200.0,221600.0,233600.0
1335,2024-12-04,231500.0,221100.0,233100.0
1336,2024-12-05,231900.0,221900.0,233900.0
1337,2024-12-06,231600.0,222000.0,234000.0
1338,2024-12-07,232300.0,222700.0,234700.0
1339,2024-12-08,233000.0,223700.0,235700.0
1340,2024-12-09,233800.0,224700.0,236700.0
1341,2024-12-10,234100.0,224800.0,236800.0
1342,2024-12-11,234500.0,225200.0,237200.0
1343,2024-12-12,235200.0,225800.0,237800.0
1344,2024-12-13,235900.0,226000.0,238000.0
1345,2024-12-14,236300.0,226200.0,238200.0
1346,2024-12-15,236600.0,227100.0,239100.0
1347,2024-12-16,236300.0,227100.0,239100.0
1348,2024-12-17,236600.0,226800.0,238800.0
1349,2024-12-18,236800.0,226400.0,238400.0
