model,map_model_name
HIACE,HIACE
AXIO,AXIO
COROLLA AE 121,COROLLA
CORROLLA AE 110,COROLLA
CORROLLA AE 100,COROLLA
CORROLLA AE 91,COROLLA
CORROLLA AE 106,COROLLA
CARENA AE180,CARINA
CARENA AE192,CARINA
CARENA AE212,CARINA
PASSO,PASSO
CORONA AE180,CORONA
CORONA AE192,CORONA
CORONA AE212,CORONA
STARLET EP91,STARLET
STARLET EP82,STARLET
DOUET,DUET
PRADO,LAND CRUISER
LAND CRUISER,LAND CRUISER
VITZ,VITZ
HIACE LH61,HIACE
HIACE LH113,HIACE LH113
HIACE LH172,HIACE
CR 26,TOWNACE
CR 27,TOWNACE
CR 41,NOAH
KR 41,NOAH
CR 42,NOAH
KR 42,NOAH
NOHA,NOAH
BELTA,BELTA
LAND CRUISER,LAND CRUISER
HILUX LN 106,HILUX
HILUX LN 107,HILUX
HILUX LN 141,HILUX
LH70B,HIACE
VIGO,HILUX VIGO
HIACE LH 73,HIACE
HIACE LH 123,HIACE
HIACE LH 182,HIACE
COASTER BUS,COASTER
TOWNACE,TOWNACE
DBA-LA300A PIXIS,PIXIS
TOYOACE,TOYOACE
ALLION,ALLION
VIOS,VIOS
UA-NCP60,IST
AXIO X DBA-NZE141,AXIO
DG-RZH125B,HIACE
YARIS,YARIS
BELTA DBA-SCP92,BELTA
KC-LH129V,HIACE
KB-CR51V,TOWNACE
AVANZA,AVANZA
REGIUS ACE,HIACE
COROLLA X TA-NZE120,COROLLA
ALLION UA-NZT240,ALLION
COROLLA XL I,COROLLA
DBA-KSP92,BELTA
COROLLA X AXIO,AXIO
DBA-NZT260-PREMIO,PREMIO
KR-KDH200V,BELTA
HILUX SSR X,HILUX
LITEACE,LITEACE
HILUX,HILUX
RAV 4,SUV
PREMIO,PREMIO
EE 101,COROLLA
HILUX VIGO G,HILUX
KG-LY132,DYNA
DYNA 150D,DYNA
CAREENA,CARINA
DYNA,DYNA
DBA-KGC10 PASSO,PASSO
DAA-ZVW30,PRIUS
DBA-NZE-141,AXIO
UA-NZT240,ALLION
ADF-KDH 201V HIACE,HIACE
UA-NZE127,COROLLA
COROLLA 1.5A,COROLLA
KR-KDH200K,HIACE
REGIUS ACE DX,HIACE
COROLLA UA-NZE121,COROLLA
COROLLA,COROLLA
GC-KM75,TOWNACE
DBA-KSP130,VITZ
FORTUNER,FORTUNER
CAMRY,CAMRY
SOLUNA,SOLUNA
TA-NZE121,COROLLA
LEXUX RX300,SUV
DAA MHU38W,HARRIER
HILUX VIGO G CHAMP,HILUX
GE-RZH112K,HIACE
IST DBA-NCP60,IST
TOWN ACE-DX,TOWNACE
GF-AT210,CORONA
KR-KDH2000V REGIUS AC,HIACE
RUSH F800RE GQGF,RUSH
HIACE LH 70 B,HIACE
COROLLA-EE96V,COROLLA
DBA-NRE160 AXIO,AXIO
DAA-AVU65W HARRIER,HARRIER
TANK GS,TANK
KB-CR41V,TOWNACE
HILUX 2WD,HILUX
PIXIS EPOCH,PIXIS
KC-LY131-CREW CAB,DYNA
DBA-M910A ROOMY,ROOMY
DBA-KSP130 AHXNK,VITZ
HILUX HL 3 DOUBLE CAB,HILUX
CLOSED AT150,CORONA
E-EP82,STARLET
CRUISER,LAND CRUISER
GF-SCP10,VITZ
NSP152R-AEXRKT,VIOS
MS135R-CROWN,CROWN
KG-LY230,DYNA
COROLLA 1.6,COROLLA
COROLLA 2,COROLLA
STARLET,STARLET
KJ-CR42V TOWN ACE,TOWNACE
CE90 COROLLA,COROLLA
AT192 CARINA,CARINA
HILUX HL3D-4 D4*4 DCB,HILUX
KR-KDH200V REGLACE,HIACE
GF-MCU10W,HARRIER
DAA-NHP10 AQUA HYBRID,AQUA
QDF-KDH201 K HIACE,HIACE
280 D-4D 95 EWB PANEL VAN,HIACE
LH113,HIACE
DBA-NZE161 AXIO,AXIO
KR-KDH20,HIACE
LJ 78,LAND CRUISER
CBA-NZT240,ALLION
TOWNACE-KB CR41V,TOWNACE
CBA-TRJ120W,LAND CRUISER
CORONA AT190,CORONA
U LH102,HIACE
TERCLE,TERCEL
XZB70R-ZEPSYQ,COASTER
KE74 COROLLA,COROLLA
DBA-M900A ROOMY CUSTOM GS,ROOMY
DAA-ZWR80G VOXY,VOXY
LH61V,HIACE
HILUX-DOUBLE,HILUX
DAA-NHW20 HYBRID,PRIUS
SPRINTER-EE80,SPRINTER
KD-KZN185W-SURF JEEP,HILUX
E-AT170-CORONA,CORONA
PLATZ,PLATZ
CBAUR1202W LANDCRUISE,LAND CRUISER
SOLUNA GLI M,SOLUNA
5BA-LA350A,PIXIS
CBA-ACU35W HARRIER,HARRIER
5BA-A200A RAIZE,RAIZE
QDF-GDH201V,HIACE
5BA-A200A,RAIZE
C-HR KOBA,CHR
M700A,PASSO
LH 125,HIACE
HILUX VIGO,HILUX
CBA-URJ202W LAND CRU,LAND CRUISER
DA-NHP10 AQUA,AQUA
URJ202W LAND CRUISER,LAND CRUISER
GF-RZNI85W,HILUX
CBA-URJ202W LAND CRUISER,LAND CRUISER
RAIZE,RAIZE
COMMUTER KDH222R,HIACE
BDG-XZB51,COASTER
CORSA,CORSA
RUSH,RUSH
E-SX80,MARK
COROSA,CORSA
DAA,AQUA
DBA-ZRR70W,VOXY
DA-ZVW30,PRIUS
DBA-NRE160 COROLLA,COROLLA
DAA-AZK10 SAI,SAI
QDG-GDH201V,HIACE
CBF-TRH200V HIACE GL,HIACE
AE100-SPRINTER,SPRINTER
GUN125R-DTFLH(ND),HILUX
HIACE KDH22R-LEMDYT,HIACE
SPRINTER,SPRINTER
JT111,LAND CRUISER
DBA-M900A-BGBGE-S,TANK
DAA-AWS210(CROWN),CROWN
DBA-NRE161,AXIO
DBA-M900S,TANK
HIACE-U-LH119V,HIACE
S CM36V,LITEACE
CBA-NZE121 COROLLA,COROLLA
DBA-ACA36W,RAV4
GF-AT211,PREMIO
CBF-TRH200K HIACE,HIACE
TOWN ACE,TOWNACE
SSRX DOUBLE CAB,PREMIO
HILUX HL3D-4D4X4DCB,HILUX
COROLLA EL41,COROLLA
KD-KZH116G,HIACE
PRIUS DAA-ZVW30,PRIUS
SPRINTER-AE91,SPRINTER
KE-CE121,COROLLA
CM 36,LITEACE
DBF-S402U TOWN ACE,TOWNACE
CHR,CHR
SDG-XZB50,COASTER
EE 101 SPRINER,SPRINTER
CBF-TRH200,HIACE
DBA-KSP90,VITZ
