model,map_model_name
SUNNY 1.6A,SUNNY
KJ-SK22VW VANETTE,VANETTE
PRESEA,PRESEA
CARAVAN VWE25,CARAVAN
E-FB12-SUNNY,SUNNY
SUNNY,SUNNY
UA-FB15 SUNNY,SUNNY
NAVARA D/C AVENTURA,NAVARA
QASHQAI TEKNA DIG-T CVT,QASHQAI
LEAF,LEAF
DAYZ,DAYZ
ADF-SKF2MN-VANETTE,VANETTE
CEFIRO 230SM,CEFIRO
MARCH UA-AK12,MARCH
VANETTE KR-SKF2MN,VANETTE
PULSAR-HN 12,PULSAR
HBD-DR64V CLIPPER,CLIPPER
CLIPPER,CLIPPER
VANETTE H/BODY TRUCK,VANETTE
PATROL,PATROL
LEAF TEKNA,LEAF
SUNNY WSBIHUG,SUNNY
X-TRAIL TA-NT30,X-TRAIL
DBA-SC11 TIIDA,TIIDA
PULSAR-FN14,PULSAR
KG-GWGE25 CARAVAN,CARAVAN
X-SB13 SUNNY,SUNNY
VANETTE KR-SKF2V,VANETTE
SUNNY GF-B15,SUNNY
CEFIRO 350JM,CEFIRO
ADF-SKF2VN-VANETTE,VANETTE
SUNNY-HB11,SUNNY
LDF-VW2E26 CARAVAN,CARAVAN
SUNNY SB 12,SUNNY
DAA-HNT32 X TRAIL,X TRAIL
PULSAR SRV,PULSAR
E-WHNB12 SUNNY,SUNNY
LDF-VW6E26 CARAVAN,CARAVAN
VANETTE NV200 DBF-VM20,VANETTE
MARCH K12,MARCH
MARCH BOLERO,MARCH
VUJC22 VANETTE,VANETTE
VANETTE STEEL,VANETTE
KR-VWE25 CARAVAN,CARAVAN
ABF-SK82VN VANETTE,VANETTE
HB 12FU-SUNNY,SUNNY
CB12-SUNNY,SUNNY
CARAVAN KG-VWE24,CARAVAN
UU12-BLUEBIRD,BLUEBIRD
QASHQAI,QASHQAI
KG-VWE25 CARAVAN,CARAVAN
SUNNY HB12,SUNNY
CARAVAN GE-VPGE24,CARAVAN
EBD-DR64V CLIPPER,CLIPPER
MBD-DR1TV CLIPPER,CLIPPER
TA-TP12-PRIMERA,PRIMERA
NAVARA OUTLAW,NAVARA
SUNNY GF-FB15,SUNNY
GBD-U71T CLIPPER,CLIPPER
WB12FU-SUNNY,SUNNY
PRIMERA CAMINO,PRIMERA
CEFIRO AUTO,CEFIRO
LDF-CW4E26 CARAVAN,CARAVAN
BHN13 SUNNY,SUNNY
ABA-DR64W CLIPPER,CLIPPER
VANETTE MAINTANANCE,VANETTE
VUJC23-SERENA,SERENA
NAVARA D/C,NAVARA
SUNNY GL,SUNNY
CLIPPER RIO WAGON,CLIPPER
HDB-DR64V CLIPPER,CLIPPER
VANETTE VUJC 2,VANETTE
SUNNY 1.5,SUNNY
ABA-DR17W CLIPPER RIO,CLIPPER
NV 200 VANETTE,VANETTE
SB 13 SUNNY,SUNNY
SUNNY-B12,SUNNY
UN13-PULSAR,PULSAR
QASHQAI TEKNA,QASHQAI
HBD DR17V CLIPPER,CLIPPER
KQ SKF2TN VANETTE,VANETTE
AD WAGON TB-VY11,AD WAGON
CARAVAN-KRGE24,CARAVAN
K11-1Z MARCH,MARCH
BLUEBIRD 1.5,BLUEBIRD
CBA-SGE25 CARAVAN,CARAVAN
WFY10-SUNNY,SUNNY
SUNNY 1.6 EXA,SUNNY
DOUBLE CAB KC-LRMD2,DOUBLE CAB
CARAVAN TA-QGE25,CARAVAN
CBAFG10BLUEBIRDSYLPH,BLUEBIRD
LE-U7IT CLIPPER,CLIPPER
DBA-B21A DAYZ,DAYZ
FRONTIER NAVARA,NAVARA
CARAVAN VRMGE24,CARAVAN
SERENA LX,SERENA
EBD-DR16T CLIPPER,CLIPPER
NAVARA EXPEDITION,NAVARA
AD WAGON DIESEL - MANNUAL,AD WAGON
CBD-U71T CLIPPER,CLIPPER
AD WAGON PETROL - AUTO,AD WAGON
