,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1256,2024-09-16,207800.0,197800.0,209800.0
1257,2024-09-17,207600.0,198100.0,210100.0
1258,2024-09-18,207500.0,197500.0,209500.0
1259,2024-09-19,207800.0,197300.0,209300.0
1260,2024-09-20,207600.0,197400.0,209400.0
1261,2024-09-21,207100.0,196900.0,208900.0
1262,2024-09-22,207100.0,196800.0,208800.0
1263,2024-09-23,206700.0,196700.0,208700.0
1264,2024-09-24,206600.0,196300.0,208300.0
1265,2024-09-25,206700.0,196300.0,208300.0
1266,2024-09-26,206700.0,196800.0,208800.0
1267,2024-09-27,206800.0,197100.0,209100.0
1268,2024-09-28,206800.0,197200.0,209200.0
1269,2024-09-29,207100.0,197500.0,209500.0
1270,2024-09-30,207200.0,197300.0,209300.0
1271,2024-10-01,207100.0,196900.0,208900.0
1272,2024-10-02,207100.0,196700.0,208700.0
1273,2024-10-03,206800.0,196800.0,208800.0
1274,2024-10-04,206600.0,196500.0,208500.0
1275,2024-10-05,207000.0,196800.0,208800.0
1276,2024-10-06,207200.0,197600.0,209600.0
1277,2024-10-07,207400.0,197700.0,209700.0
1278,2024-10-08,207600.0,198000.0,210000.0
1279,2024-10-09,207800.0,198400.0,210400.0
1280,2024-10-10,208300.0,198600.0,210600.0
1281,2024-10-11,208600.0,198500.0,210500.0
1282,2024-10-12,208900.0,198800.0,210800.0
1283,2024-10-13,208900.0,199400.0,211400.0
1284,2024-10-14,209300.0,199700.0,211700.0
1285,2024-10-15,209700.0,200000.0,212000.0
1286,2024-10-16,209800.0,200100.0,212100.0
1287,2024-10-17,210600.0,201100.0,213100.0
1288,2024-10-18,210800.0,201100.0,213100.0
1289,2024-10-19,211200.0,201500.0,213500.0
1290,2024-10-20,211800.0,202400.0,214400.0
1291,2024-10-21,211800.0,202600.0,214600.0
1292,2024-10-22,212200.0,202200.0,214200.0
1293,2024-10-23,212600.0,202600.0,214600.0
1294,2024-10-24,212500.0,202900.0,214900.0
1295,2024-10-25,212600.0,202300.0,214300.0
1296,2024-10-26,212800.0,203000.0,215000.0
1297,2024-10-27,213100.0,203700.0,215700.0
1298,2024-10-28,213400.0,203600.0,215600.0
1299,2024-10-29,214300.0,204600.0,216600.0
1300,2024-10-30,214600.0,205400.0,217400.0
1301,2024-10-31,214800.0,205500.0,217500.0
1302,2024-11-01,215300.0,205300.0,217300.0
1303,2024-11-02,215900.0,206500.0,218500.0
1304,2024-11-03,215900.0,205900.0,217900.0
1305,2024-11-04,216300.0,206000.0,218000.0
1306,2024-11-05,216400.0,207000.0,219000.0
1307,2024-11-06,216800.0,207600.0,219600.0
1308,2024-11-07,217500.0,207800.0,219800.0
1309,2024-11-08,218000.0,208400.0,220400.0
1310,2024-11-09,218100.0,209100.0,221100.0
1311,2024-11-10,218600.0,208800.0,220800.0
1312,2024-11-11,219300.0,209500.0,221500.0
1313,2024-11-12,219300.0,209500.0,221500.0
1314,2024-11-13,219700.0,209900.0,221900.0
1315,2024-11-14,219900.0,210300.0,222300.0
1316,2024-11-15,220600.0,211200.0,223200.0
1317,2024-11-16,220900.0,211300.0,223300.0
1318,2024-11-17,221300.0,211700.0,223700.0
1319,2024-11-18,221400.0,211900.0,223900.0
1320,2024-11-19,221700.0,212000.0,224000.0
1321,2024-11-20,221700.0,211500.0,223500.0
1322,2024-11-21,222300.0,212300.0,224300.0
1323,2024-11-22,222200.0,212400.0,224400.0
1324,2024-11-23,222200.0,212400.0,224400.0
1325,2024-11-24,222200.0,212400.0,224400.0
1326,2024-11-25,222800.0,213300.0,225300.0
1327,2024-11-26,222700.0,212600.0,224600.0
1328,2024-11-27,222900.0,212600.0,224600.0
1329,2024-11-28,222500.0,212600.0,224600.0
1330,2024-11-29,222500.0,212900.0,224900.0
1331,2024-11-30,223000.0,212700.0,224700.0
1332,2024-12-01,223400.0,213300.0,225300.0
1333,2024-12-02,223200.0,213600.0,225600.0
1334,2024-12-03,223500.0,214000.0,226000.0
1335,2024-12-04,223600.0,214200.0,226200.0
1336,2024-12-05,224000.0,214100.0,226100.0
1337,2024-12-06,224200.0,214000.0,226000.0
1338,2024-12-07,224000.0,213800.0,225800.0
1339,2024-12-08,223800.0,213800.0,225800.0
1340,2024-12-09,223800.0,213800.0,225800.0
1341,2024-12-10,223900.0,213800.0,225800.0
1342,2024-12-11,223800.0,213700.0,225700.0
1343,2024-12-12,223800.0,213900.0,225900.0
1344,2024-12-13,223900.0,214200.0,226200.0
1345,2024-12-14,224300.0,214500.0,226500.0
1346,2024-12-15,224500.0,214600.0,226600.0
1347,2024-12-16,224700.0,215000.0,227000.0
