,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
2804,2024-10-05,200900.0,192600.0,204600.0
2805,2024-10-06,200900.0,190600.0,202600.0
2806,2024-10-07,200900.0,190800.0,202800.0
2807,2024-10-08,200700.0,190600.0,202600.0
2808,2024-10-09,200600.0,190400.0,202400.0
2809,2024-10-10,200600.0,192300.0,204300.0
2810,2024-10-11,200500.0,194100.0,206100.0
2811,2024-10-12,200500.0,192100.0,204100.0
2812,2024-10-13,200500.0,190400.0,202400.0
2813,2024-10-14,200400.0,190400.0,202400.0
2814,2024-10-15,200400.0,190400.0,202400.0
2815,2024-10-16,200500.0,190400.0,202400.0
2816,2024-10-17,200500.0,192200.0,204200.0
2817,2024-10-18,200600.0,194200.0,206200.0
2818,2024-10-19,200600.0,192500.0,204500.0
2819,2024-10-20,200600.0,190700.0,202700.0
2820,2024-10-21,200900.0,191000.0,203000.0
2821,2024-10-22,201100.0,191200.0,203200.0
2822,2024-10-23,201100.0,191200.0,203200.0
2823,2024-10-24,201300.0,193200.0,205200.0
2824,2024-10-25,201600.0,195500.0,207500.0
2825,2024-10-26,201600.0,193500.0,205500.0
2826,2024-10-27,201700.0,191500.0,203500.0
2827,2024-10-28,202000.0,192300.0,204300.0
2828,2024-10-29,202300.0,192500.0,204500.0
2829,2024-10-30,202500.0,192600.0,204600.0
2830,2024-10-31,202800.0,194900.0,206900.0
2831,2024-11-01,202900.0,197200.0,209200.0
2832,2024-11-02,203400.0,195400.0,207400.0
2833,2024-11-03,203900.0,193900.0,205900.0
2834,2024-11-04,203700.0,193900.0,205900.0
2835,2024-11-05,204000.0,194200.0,206200.0
2836,2024-11-06,204400.0,194600.0,206600.0
2837,2024-11-07,205400.0,197700.0,209700.0
2838,2024-11-08,205700.0,199700.0,211700.0
2839,2024-11-09,206100.0,198800.0,210800.0
2840,2024-11-10,206500.0,197400.0,209400.0
2841,2024-11-11,207200.0,197800.0,209800.0
2842,2024-11-12,207500.0,197200.0,209200.0
2843,2024-11-13,208100.0,198000.0,210000.0
2844,2024-11-14,207900.0,200200.0,212200.0
2845,2024-11-15,208500.0,202600.0,214600.0
2846,2024-11-16,208800.0,201000.0,213000.0
2847,2024-11-17,209100.0,199500.0,211500.0
2848,2024-11-18,209500.0,199800.0,211800.0
2849,2024-11-19,210300.0,200500.0,212500.0
2850,2024-11-20,210800.0,201200.0,213200.0
2851,2024-11-21,211000.0,203400.0,215400.0
2852,2024-11-22,211500.0,206100.0,218100.0
2853,2024-11-23,211900.0,204300.0,216300.0
2854,2024-11-24,212300.0,202400.0,214400.0
2855,2024-11-25,213100.0,203000.0,215000.0
2856,2024-11-26,213400.0,203800.0,215800.0
2857,2024-11-27,213500.0,204000.0,216000.0
2858,2024-11-28,214000.0,206200.0,218200.0
2859,2024-11-29,214200.0,208600.0,220600.0
2860,2024-11-30,214500.0,206400.0,218400.0
2861,2024-12-01,215000.0,204700.0,216700.0
2862,2024-12-02,215200.0,205400.0,217400.0
2863,2024-12-03,216200.0,206900.0,218900.0
2864,2024-12-04,217100.0,208000.0,220000.0
2865,2024-12-05,217600.0,210500.0,222500.0
2866,2024-12-06,218000.0,212800.0,224800.0
2867,2024-12-07,218400.0,210900.0,222900.0
2868,2024-12-08,218400.0,207800.0,219800.0
2869,2024-12-09,218900.0,207900.0,219900.0
2870,2024-12-10,218400.0,208100.0,220100.0
2871,2024-12-11,218700.0,209000.0,221000.0
2872,2024-12-12,219200.0,211600.0,223600.0
2873,2024-12-13,219400.0,214200.0,226200.0
2874,2024-12-14,219500.0,211700.0,223700.0
2875,2024-12-15,220200.0,210300.0,222300.0
2876,2024-12-16,220600.0,210700.0,222700.0
2877,2024-12-17,221100.0,210700.0,222700.0
2878,2024-12-18,221300.0,211600.0,223600.0
2879,2024-12-19,221700.0,214800.0,226800.0
2880,2024-12-20,222300.0,217300.0,229300.0
2881,2024-12-21,223000.0,215000.0,227000.0
2882,2024-12-22,223300.0,213300.0,225300.0
2883,2024-12-23,223600.0,213900.0,225900.0
2884,2024-12-24,224700.0,214900.0,226900.0
2885,2024-12-25,224900.0,215100.0,227100.0
2886,2024-12-26,225000.0,217600.0,229600.0
2887,2024-12-27,225800.0,220800.0,232800.0
2888,2024-12-28,226200.0,218700.0,230700.0
2889,2024-12-29,226700.0,216100.0,228100.0
2890,2024-12-30,227000.0,216900.0,228900.0
2891,2024-12-31,226900.0,217500.0,229500.0
2892,2025-01-01,227800.0,218000.0,230000.0
2893,2025-01-02,228800.0,221200.0,233200.0
2894,2025-01-03,229200.0,224200.0,236200.0
2895,2025-01-04,229900.0,222700.0,234700.0
2896,2025-01-05,230500.0,221100.0,233100.0
