vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
2260000,NISSAN,MARCH,2000,MANUAL,997,PETROL
890000,NISSAN,MARCH,1988,MANUAL,880,PETROL
2375000,NISSAN,MARCH,1998,MANUAL,800,PETROL
4650000,NISSAN,CARAVAN,1995,MANUAL,2800,DIESEL
7500000,NISSAN,CARAVAN,2003,AUTOMATIC,3000,DIESEL
6900000,NISSAN,CARAVAN,2008,AUTOMATIC,2990,DIESEL
1750000,NISSAN,VANETTE,1988,MANUAL,1950,DIESEL
4975000,NISSAN,TIIDA,2010,AUTOMATIC,1500,PETROL
3650000,NISSAN,VANETTE,1988,MANUAL,1950,DIESEL
2550000,NISSAN,MARCH,2000,AUTOMATIC,990,PETROL
2600000,NISSAN,SUNNY,1996,AUTOMATIC,1490,PETROL
2300000,NISSAN,SUNNY,1996,AUTOMATIC,1290,PETROL
5300000,NISSAN,CARAVAN,1995,MANUAL,2960,DIESEL
7200000,NISSAN,CARAVAN,2011,MANUAL,2950,DIESEL
2250000,NISSAN,VANETTE,1993,MANUAL,1950,DIESEL
3750000,NISSAN,SUNNY,2002,AUTOMATIC,1500,PETROL
5475000,NISSAN,DAYZ,2016,AUTOMATIC,650,PETROL
825000,NISSAN,SUNNY,1985,MANUAL,1300,PETROL
13000000,NISSAN,X-TRAIL,2016,AUTOMATIC,1990,PETROL
1550000,NISSAN,SUNNY,1989,MANUAL,1300,PETROL
2650000,NISSAN,MARCH,2001,MANUAL,1000,PETROL
1350000,NISSAN,SUNNY,1986,MANUAL,1500,PETROL
1990000,NISSAN,SERENA,1993,AUTOMATIC,2000,DIESEL
700000,NISSAN,VANETTE,1984,MANUAL,800,DIESEL
3650000,NISSAN,CEFIRO,2001,MANUAL,2000,PETROL
5100000,NISSAN,X-TRAIL,2002,AUTOMATIC,2000,PETROL
5000000,NISSAN,CARAVAN,1996,MANUAL,2660,DIESEL
3900000,NISSAN,SUNNY,2002,AUTOMATIC,1490,PETROL
6400000,NISSAN,CARAVAN,2007,AUTOMATIC,2950,DIESEL
2450000,NISSAN,SUNNY,1997,AUTOMATIC,1500,PETROL
3375000,NISSAN,VANETTE,1998,MANUAL,2000,DIESEL
5950000,NISSAN,CLIPPER,2015,AUTOMATIC,650,PETROL
2700000,NISSAN,VANETTE,1995,MANUAL,2700,DIESEL
1375000,NISSAN,SUNNY,1989,MANUAL,1500,PETROL
1950000,NISSAN,SUNNY,1996,MANUAL,1490,PETROL
5575000,NISSAN,CARAVAN,1994,AUTOMATIC,2500,DIESEL
1975000,NISSAN,MARCH,1995,AUTOMATIC,990,PETROL
5875000,NISSAN,SUNNY,2011,MANUAL,1300,PETROL
1500000,NISSAN,SUNNY,1990,MANUAL,1500,PETROL
3690000,NISSAN,SUNNY,2002,AUTOMATIC,1500,PETROL
5690000,NISSAN,DAYZ,2017,AUTOMATIC,650,PETROL
4850000,NISSAN,CARAVAN,1995,MANUAL,2000,DIESEL
1100000,NISSAN,SUNNY,1986,MANUAL,1270,PETROL
2475000,NISSAN,MARCH,1997,AUTOMATIC,1300,PETROL
5675000,NISSAN,CARAVAN,1999,AUTOMATIC,2700,DIESEL
6400000,NISSAN,DAYZ,2017,AUTOMATIC,650,PETROL
1550000,NISSAN,VANETTE,1988,MANUAL,1980,DIESEL
2400000,NISSAN,PULSAR,1999,MANUAL,1500,PETROL
2150000,NISSAN,MARCH,1997,AUTOMATIC,1000,PETROL
6300000,NISSAN,CARAVAN,2006,AUTOMATIC,2011,DIESEL
2350000,NISSAN,VANETTE,1994,MANUAL,2000,DIESEL
5800000,NISSAN,X-TRAIL,2001,AUTOMATIC,1990,PETROL
