,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1271,2024-10-01,207300.0,197900.0,209900.0
1272,2024-10-02,207000.0,197900.0,209900.0
1273,2024-10-03,206800.0,197600.0,209600.0
1274,2024-10-04,207000.0,197700.0,209700.0
1275,2024-10-05,206900.0,197700.0,209700.0
1276,2024-10-06,207300.0,198600.0,210600.0
1277,2024-10-07,207300.0,198800.0,210800.0
1278,2024-10-08,207700.0,199200.0,211200.0
1279,2024-10-09,207900.0,199200.0,211200.0
1280,2024-10-10,208200.0,199500.0,211500.0
1281,2024-10-11,208600.0,199600.0,211600.0
1282,2024-10-12,209100.0,200400.0,212400.0
1283,2024-10-13,209100.0,200500.0,212500.0
1284,2024-10-14,209600.0,201200.0,213200.0
1285,2024-10-15,209700.0,201300.0,213300.0
1286,2024-10-16,210300.0,201600.0,213600.0
1287,2024-10-17,210500.0,201400.0,213400.0
1288,2024-10-18,210800.0,202000.0,214000.0
1289,2024-10-19,210900.0,202200.0,214200.0
1290,2024-10-20,211400.0,202900.0,214900.0
1291,2024-10-21,211700.0,203100.0,215100.0
1292,2024-10-22,212400.0,204000.0,216000.0
1293,2024-10-23,212700.0,204300.0,216300.0
1294,2024-10-24,213300.0,204600.0,216600.0
1295,2024-10-25,213200.0,204500.0,216500.0
1296,2024-10-26,213900.0,205300.0,217300.0
1297,2024-10-27,214200.0,205500.0,217500.0
1298,2024-10-28,214600.0,205700.0,217700.0
1299,2024-10-29,214700.0,206000.0,218000.0
1300,2024-10-30,214700.0,206300.0,218300.0
1301,2024-10-31,214800.0,206000.0,218000.0
1302,2024-11-01,215100.0,205600.0,217600.0
1303,2024-11-02,215000.0,205700.0,217700.0
1304,2024-11-03,215200.0,206100.0,218100.0
1305,2024-11-04,215100.0,206200.0,218200.0
1306,2024-11-05,215200.0,206500.0,218500.0
1307,2024-11-06,215500.0,207000.0,219000.0
1308,2024-11-07,216300.0,207800.0,219800.0
1309,2024-11-08,216900.0,208100.0,220100.0
1310,2024-11-09,217300.0,208800.0,220800.0
1311,2024-11-10,217700.0,209600.0,221600.0
1312,2024-11-11,218200.0,210000.0,222000.0
1313,2024-11-12,218600.0,209800.0,221800.0
1314,2024-11-13,218800.0,209600.0,221600.0
1315,2024-11-14,218500.0,209500.0,221500.0
1316,2024-11-15,218700.0,209500.0,221500.0
1317,2024-11-16,218700.0,209600.0,221600.0
1318,2024-11-17,218600.0,209600.0,221600.0
1319,2024-11-18,218800.0,209900.0,221900.0
1320,2024-11-19,218800.0,210200.0,222200.0
1321,2024-11-20,219300.0,210400.0,222400.0
1322,2024-11-21,219500.0,210500.0,222500.0
1323,2024-11-22,219700.0,211000.0,223000.0
1324,2024-11-23,219800.0,211100.0,223100.0
1325,2024-11-24,220500.0,212000.0,224000.0
1326,2024-11-25,221100.0,212500.0,224500.0
1327,2024-11-26,221100.0,212500.0,224500.0
1328,2024-11-27,221000.0,212300.0,224300.0
1329,2024-11-28,221300.0,212600.0,224600.0
1330,2024-11-29,221100.0,211900.0,223900.0
1331,2024-11-30,221500.0,211600.0,223600.0
1332,2024-12-01,221400.0,212300.0,224300.0
1333,2024-12-02,221100.0,212600.0,224600.0
1334,2024-12-03,221400.0,212800.0,224800.0
1335,2024-12-04,221400.0,212800.0,224800.0
1336,2024-12-05,221500.0,212600.0,224600.0
1337,2024-12-06,221600.0,212100.0,224100.0
1338,2024-12-07,221500.0,212100.0,224100.0
1339,2024-12-08,221300.0,212200.0,224200.0
1340,2024-12-09,221800.0,213000.0,225000.0
1341,2024-12-10,221700.0,213000.0,225000.0
1342,2024-12-11,222000.0,213500.0,225500.0
1343,2024-12-12,222400.0,213900.0,225900.0
1344,2024-12-13,222700.0,214100.0,226100.0
1345,2024-12-14,222900.0,213600.0,225600.0
1346,2024-12-15,223200.0,214300.0,226300.0
1347,2024-12-16,223100.0,214600.0,226600.0
1348,2024-12-17,223600.0,214700.0,226700.0
1349,2024-12-18,223900.0,215200.0,227200.0
1350,2024-12-19,224100.0,215700.0,227700.0
1351,2024-12-20,225100.0,216700.0,228700.0
1352,2024-12-21,225400.0,216800.0,228800.0
1353,2024-12-22,225800.0,217500.0,229500.0
1354,2024-12-23,226000.0,217500.0,229500.0
1355,2024-12-24,226200.0,217600.0,229600.0
1356,2024-12-25,226400.0,217000.0,229000.0
1357,2024-12-26,226700.0,217600.0,229600.0
1358,2024-12-27,226200.0,217200.0,229200.0
1359,2024-12-28,226600.0,217600.0,229600.0
1360,2024-12-29,226500.0,218000.0,230000.0
1361,2024-12-30,226900.0,218200.0,230200.0
1362,2024-12-31,227900.0,219200.0,231200.0
1363,2025-01-01,227900.0,219500.0,231500.0
