,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
1266,2024-09-26,217700.0,208400.0,220400.0
1267,2024-09-27,217800.0,208600.0,220600.0
1268,2024-09-28,218000.0,209100.0,221100.0
1269,2024-09-29,218100.0,209300.0,221300.0
1270,2024-09-30,218200.0,209500.0,221500.0
1271,2024-10-01,218300.0,209900.0,221900.0
1272,2024-10-02,219000.0,210300.0,222300.0
1273,2024-10-03,219000.0,209800.0,221800.0
1274,2024-10-04,219100.0,210000.0,222000.0
1275,2024-10-05,219700.0,211300.0,223300.0
1276,2024-10-06,219800.0,211400.0,223400.0
1277,2024-10-07,220600.0,211700.0,223700.0
1278,2024-10-08,221000.0,212700.0,224700.0
1279,2024-10-09,221100.0,213100.0,225100.0
1280,2024-10-10,221800.0,212700.0,224700.0
1281,2024-10-11,222000.0,213000.0,225000.0
1282,2024-10-12,221700.0,213000.0,225000.0
1283,2024-10-13,222300.0,213300.0,225300.0
1284,2024-10-14,222500.0,213700.0,225700.0
1285,2024-10-15,223300.0,214700.0,226700.0
1286,2024-10-16,223600.0,215400.0,227400.0
1287,2024-10-17,224300.0,216200.0,228200.0
1288,2024-10-18,225000.0,216900.0,228900.0
1289,2024-10-19,225700.0,217500.0,229500.0
1290,2024-10-20,226400.0,217600.0,229600.0
1291,2024-10-21,226600.0,218000.0,230000.0
1292,2024-10-22,226900.0,218400.0,230400.0
1293,2024-10-23,227400.0,218600.0,230600.0
1294,2024-10-24,227700.0,219000.0,231000.0
1295,2024-10-25,228000.0,219200.0,231200.0
1296,2024-10-26,228500.0,220000.0,232000.0
1297,2024-10-27,229000.0,220600.0,232600.0
1298,2024-10-28,230200.0,221900.0,233900.0
1299,2024-10-29,230000.0,221700.0,233700.0
1300,2024-10-30,230300.0,221800.0,233800.0
1301,2024-10-31,230500.0,221800.0,233800.0
1302,2024-11-01,230800.0,221800.0,233800.0
1303,2024-11-02,231300.0,221600.0,233600.0
1304,2024-11-03,231300.0,222300.0,234300.0
1305,2024-11-04,231200.0,223200.0,235200.0
1306,2024-11-05,232200.0,224100.0,236100.0
1307,2024-11-06,233100.0,224900.0,236900.0
1308,2024-11-07,234000.0,225500.0,237500.0
1309,2024-11-08,234600.0,226500.0,238500.0
1310,2024-11-09,235000.0,227000.0,239000.0
1311,2024-11-10,235800.0,227300.0,239300.0
1312,2024-11-11,236400.0,227800.0,239800.0
1313,2024-11-12,236700.0,228000.0,240000.0
1314,2024-11-13,237200.0,228400.0,240400.0
1315,2024-11-14,237500.0,229000.0,241000.0
1316,2024-11-15,237600.0,229000.0,241000.0
1317,2024-11-16,237800.0,229100.0,241100.0
1318,2024-11-17,238600.0,230000.0,242000.0
1319,2024-11-18,239300.0,230700.0,242700.0
1320,2024-11-19,239700.0,231000.0,243000.0
1321,2024-11-20,239700.0,231400.0,243400.0
1322,2024-11-21,239800.0,231800.0,243800.0
1323,2024-11-22,240900.0,232200.0,244200.0
1324,2024-11-23,241300.0,231800.0,243800.0
1325,2024-11-24,241500.0,232500.0,244500.0
1326,2024-11-25,241700.0,233500.0,245500.0
1327,2024-11-26,241500.0,233400.0,245400.0
1328,2024-11-27,242100.0,233100.0,245100.0
1329,2024-11-28,243000.0,234200.0,246200.0
1330,2024-11-29,243200.0,234600.0,246600.0
1331,2024-11-30,243800.0,234900.0,246900.0
1332,2024-12-01,244000.0,236000.0,248000.0
1333,2024-12-02,244300.0,236600.0,248600.0
1334,2024-12-03,244600.0,235600.0,247600.0
1335,2024-12-04,244900.0,235500.0,247500.0
1336,2024-12-05,244800.0,235600.0,247600.0
1337,2024-12-06,244900.0,235800.0,247800.0
1338,2024-12-07,245100.0,235900.0,247900.0
1339,2024-12-08,245100.0,236700.0,248700.0
1340,2024-12-09,245200.0,237000.0,249000.0
1341,2024-12-10,246400.0,237800.0,249800.0
1342,2024-12-11,246700.0,238000.0,250000.0
1343,2024-12-12,246700.0,237900.0,249900.0
1344,2024-12-13,246900.0,238300.0,250300.0
1345,2024-12-14,247200.0,238700.0,250700.0
1346,2024-12-15,247900.0,238800.0,250800.0
1347,2024-12-16,248100.0,239000.0,251000.0
1348,2024-12-17,248100.0,239800.0,251800.0
1349,2024-12-18,248400.0,240200.0,252200.0
1350,2024-12-19,249100.0,240600.0,252600.0
1351,2024-12-20,249700.0,240900.0,252900.0
1352,2024-12-21,250100.0,241500.0,253500.0
1353,2024-12-22,250200.0,241700.0,253700.0
1354,2024-12-23,250500.0,241800.0,253800.0
1355,2024-12-24,251100.0,242600.0,254600.0
1356,2024-12-25,251900.0,243200.0,255200.0
1357,2024-12-26,252100.0,243400.0,255400.0
