,ds,yhat_manipulation_smooth,yhat_lower_manipulation_smooth,yhat_upper_manipulation_smooth
2808,2024-10-09,200700.0,190500.0,202500.0
2809,2024-10-10,200900.0,192800.0,204800.0
2810,2024-10-11,200800.0,194800.0,206800.0
2811,2024-10-12,200800.0,192700.0,204700.0
2812,2024-10-13,200800.0,190700.0,202700.0
2813,2024-10-14,200700.0,190600.0,202600.0
2814,2024-10-15,200700.0,190200.0,202200.0
2815,2024-10-16,200700.0,190300.0,202300.0
2816,2024-10-17,200500.0,192400.0,204400.0
2817,2024-10-18,200600.0,194500.0,206500.0
2818,2024-10-19,200600.0,192600.0,204600.0
2819,2024-10-20,200700.0,190700.0,202700.0
2820,2024-10-21,200900.0,190800.0,202800.0
2821,2024-10-22,200800.0,190700.0,202700.0
2822,2024-10-23,200800.0,190700.0,202700.0
2823,2024-10-24,201200.0,193200.0,205200.0
2824,2024-10-25,201500.0,195600.0,207600.0
2825,2024-10-26,201600.0,193700.0,205700.0
2826,2024-10-27,202000.0,192300.0,204300.0
2827,2024-10-28,202200.0,192700.0,204700.0
2828,2024-10-29,202500.0,192600.0,204600.0
2829,2024-10-30,202700.0,192500.0,204500.0
2830,2024-10-31,202600.0,194600.0,206600.0
2831,2024-11-01,202600.0,196400.0,208400.0
2832,2024-11-02,202900.0,194600.0,206600.0
2833,2024-11-03,203100.0,193100.0,205100.0
2834,2024-11-04,203300.0,193500.0,205500.0
2835,2024-11-05,203900.0,194400.0,206400.0
2836,2024-11-06,204300.0,194800.0,206800.0
2837,2024-11-07,204600.0,197100.0,209100.0
2838,2024-11-08,205000.0,199000.0,211000.0
2839,2024-11-09,204900.0,196800.0,208800.0
2840,2024-11-10,204900.0,194500.0,206500.0
2841,2024-11-11,205000.0,194600.0,206600.0
2842,2024-11-12,204700.0,194600.0,206600.0
2843,2024-11-13,204900.0,194800.0,206800.0
2844,2024-11-14,204800.0,196900.0,208900.0
2845,2024-11-15,205100.0,199300.0,211300.0
2846,2024-11-16,205600.0,197600.0,209600.0
2847,2024-11-17,205700.0,195900.0,207900.0
2848,2024-11-18,205900.0,196100.0,208100.0
2849,2024-11-19,206400.0,196800.0,208800.0
2850,2024-11-20,206300.0,196400.0,208400.0
2851,2024-11-21,206800.0,198600.0,210600.0
2852,2024-11-22,206700.0,200700.0,212700.0
2853,2024-11-23,206600.0,198500.0,210500.0
2854,2024-11-24,206800.0,196400.0,208400.0
2855,2024-11-25,207000.0,197000.0,209000.0
2856,2024-11-26,206900.0,197000.0,209000.0
2857,2024-11-27,207200.0,197100.0,209100.0
2858,2024-11-28,207300.0,199600.0,211600.0
2859,2024-11-29,207500.0,201700.0,213700.0
2860,2024-11-30,207900.0,199700.0,211700.0
2861,2024-12-01,207900.0,197700.0,209700.0
2862,2024-12-02,207900.0,198000.0,210000.0
2863,2024-12-03,208200.0,198200.0,210200.0
2864,2024-12-04,208200.0,198100.0,210100.0
2865,2024-12-05,208200.0,200000.0,212000.0
2866,2024-12-06,208500.0,202600.0,214600.0
2867,2024-12-07,208700.0,200800.0,212800.0
2868,2024-12-08,209400.0,199400.0,211400.0
2869,2024-12-09,209500.0,199900.0,211900.0
2870,2024-12-10,209500.0,200100.0,212100.0
2871,2024-12-11,209900.0,200100.0,212100.0
2872,2024-12-12,210200.0,202000.0,214000.0
2873,2024-12-13,210300.0,203800.0,215800.0
2874,2024-12-14,210500.0,202200.0,214200.0
2875,2024-12-15,210500.0,200700.0,212700.0
2876,2024-12-16,210700.0,201000.0,213000.0
2877,2024-12-17,211000.0,201200.0,213200.0
2878,2024-12-18,211400.0,201700.0,213700.0
2879,2024-12-19,211600.0,203500.0,215500.0
2880,2024-12-20,211700.0,205500.0,217500.0
2881,2024-12-21,212100.0,204100.0,216100.0
2882,2024-12-22,212100.0,202300.0,214300.0
2883,2024-12-23,212500.0,202600.0,214600.0
2884,2024-12-24,212800.0,203000.0,215000.0
2885,2024-12-25,213000.0,203500.0,215500.0
2886,2024-12-26,213500.0,205500.0,217500.0
2887,2024-12-27,214000.0,208200.0,220200.0
2888,2024-12-28,214200.0,206400.0,218400.0
2889,2024-12-29,214200.0,204200.0,216200.0
2890,2024-12-30,214400.0,204500.0,216500.0
2891,2024-12-31,214700.0,204700.0,216700.0
2892,2025-01-01,214800.0,204500.0,216500.0
2893,2025-01-02,215000.0,206600.0,218600.0
2894,2025-01-03,215400.0,209900.0,221900.0
2895,2025-01-04,215400.0,207800.0,219800.0
2896,2025-01-05,216100.0,206200.0,218200.0
2897,2025-01-06,216300.0,206700.0,218700.0
2898,2025-01-07,216600.0,207000.0,219000.0
2899,2025-01-08,216900.0,206600.0,218600.0
2900,2025-01-09,217400.0,209400.0,221400.0
